cnpj;ticker;denominacao;gestor;segmento_b3;classificacao_scout;observacoes
48643091000100;;B- INDEX MORNINGSTAR BRASIL MOMENTO FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Brasil;
48643130000179;;B-INDEX MORNINGSTAR BRASIL PESOS IGUAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Brasil;
48643170000110;;B-INDEX MORNINGSTAR SETORES CICLICOS BRASIL FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Brasil;
48643220000160;;B-INDEX MORNINGSTAR SETORES DEFENSIVOS BRASIL FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Brasil;
34606480000150;;BB ETF IBOVESPA FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF;Ações Brasil;
17817528000150;;BB ETF S&P DIVIDENDOS BRASIL FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF;Ações Brasil;sinais no nome: Ações Internacionais + Ações Brasil
57848980000102;;BB ETF ÍNDICE BOVESPA B3 BR+ FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF;Ações Brasil;
52203750000164;;BB ETF ÍNDICE DIVERSIDADE B3 INVESTIMENTO SUSTENTÁVEL FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF;Ações Brasil;
42427783000134;;BTG PACTUAL B3 IBOVESPA FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;
37843293000189;;BTG PACTUAL ESG FUNDO DE ÍNDICE S&P/B3 BRAZIL ESG;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;sinais no nome: Ações Internacionais + Ações Brasil
42682281000150;;BTG PACTUAL SMLL B3 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;
61273759000132;;BTG PACTUAL TEVA AUVP AÇÕES FUNDAMENTOS FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;
63905124000136;;BTG PACTUAL TEVA AUVP ITBR LIQUIDEZ FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Ações Brasil;
43391410000113;;BTG PACTUAL TEVA AÇÕES COMMODITIES BRASIL FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;sinais no nome: Commodities + Ações Brasil
57063444000193;;BTG PACTUAL TEVA DIVIDENDOS ATIVOS REAIS LISTADOS FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;
59506849000184;;BTG PACTUAL TEVA IABR SELECTOR FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;
14120533000111;;CAIXA ETF IBOVESPA FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRI;ETF;Ações Brasil;
43140303000112;;ETF TRÍGONO TEVA AÇÕES MICRO CAP / SMALL CAP FUNDO DE ÍNDICE;TRÍGONO CAPITAL LTDA;ETF;Ações Brasil;
32203211000118;;FUNDO DE INVESTIMENTO DE ÍNDICE - CLASSE DE INVESTIMENTO ETF BRADESCO IBOVESPA - RESP LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Brasil;
62494142000100;;INVESTO B3 UTILIDADE PÚBLICA FUNDO DE ÍNDICE;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Brasil;
66731874000127;;INVESTO BRASIL BANCOS B3 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Brasil;
66575736000104;;INVESTO BRAZIL BESST QUALITY ACUMULAÇÃO FUNDO DE ÍNDICE;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Brasil;
61950414000176;;INVESTO BRAZIL BESST QUALITY FUNDO DE ÍNDICE;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Brasil;
45823539000189;;INVESTO MARKETVECTOR BRAZIL DOMESTIC EXPOSURE ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Brasil;
45814400000179;;INVESTO MARKETVECTOR BRAZIL SMALL CAP VALUE ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Brasil;
10406600000108;;ISHARES BM&FBOVESPA SMALL CAP CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;BLACKROCK BRASIL GESTORA DE INVESTIMENTOS LTDA;ETF;Ações Brasil;
60553995000140;;ISHARES BOVESPA BR+ CAP 5% B3 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;BLACKROCK BRASIL GESTORA DE INVESTIMENTOS LTDA;ETF;Ações Brasil;
60554347000108;;ISHARES BOVESPA BR+ EQUAL WEIGHT B3 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;BLACKROCK BRASIL GESTORA DE INVESTIMENTOS LTDA;ETF;Ações Brasil;
10406511000161;;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;BLACKROCK BRASIL GESTORA DE INVESTIMENTOS LTDA;ETF;Ações Brasil;
11455378000104;;ISHARES IBRX - ÍNDICE  BRASIL (IBrX-100) CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;BLACKROCK BRASIL GESTORA DE INVESTIMENTOS LTDA;ETF;Ações Brasil;
15562377000101;;ISHARES INDICE CARBONO EFICIENTE (ICO2)  BRASIL IS CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;BLACKROCK BRASIL GESTORA DE INVESTIMENTOS LTDA;ETF;Ações Brasil;sinais no nome: Commodities + Ações Brasil
56211321000190;;IT NOW IBOVESPA B3 BR+ FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Brasil;
21407758000119;;IT NOW IBOVESPA FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Brasil;
13416245000146;;IT NOW IDIV FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Brasil;
54314981000170;;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Brasil;
11961094000181;;IT NOW IFNC FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Brasil;
11184136000115;;IT NOW IGCT FUNDO DE INDICE INVESTIMENTO SUSTENTÁVEL RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Brasil;
13416228000109;;IT NOW IMAT FUNDO DE INDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Brasil;
12984444000198;;IT NOW ISE FUNDO DE ÍNDICE INVESTIMENTO SUSTENTÁVEL - RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Brasil;
6323688000127;;IT NOW PIBB IBRX-50 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;;Ações Brasil;
34803814000186;;IT NOW SMALL CAPS FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Brasil;
52116361000100;;NU IBOV SMART DIVIDENDOS CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;ETF;Ações Brasil;
55705611000127;;NU IBOV SMART HIGH BETA B3 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;ETF;Ações Brasil;
55705668000126;;NU IBOV SMART LOW VOLATILITY B3 CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;ETF;Ações Brasil;
56107650000195;;NU IBOVESPA B3 BR+ CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;ETF;Ações Brasil;
52116337000162;;NU RENDA IBOV SMART DIVIDENDOS CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;ETF;Ações Brasil;
63063704000123;;RIO BRAVO INVESTO MARKETVECTOR BRAZIL MULTIFACTOR QUALITY FUNDO DE ÍNDICE;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Brasil;
63063704000123;;RIO BRAVO INVESTO MARKETVECTOR BRAZIL MULTIFACTOR QUALITY FUNDO DE ÍNDICE;RIO BRAVO INVESTIMENTOS LTDA;ETF;Ações Brasil;
57091257000113;;SAFRA ETF IBOVESPA EMPRESAS ESTATAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁ;ETF;Ações Brasil;
57091195000140;;SAFRA ETF IBOVESPA EMPRESAS PRIVADAS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁ;ETF;Ações Brasil;
38350645000127;;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁ;ETF;Ações Brasil;
43210658000130;;SAFRA ETF MULHERES NA LIDERANÇA FUNDO DE ÍNDICE DE AÇÕES INVESTIMENTO SUSTENTÁVEL - RESP LIMITADA;SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁ;ETF;Ações Brasil;
40155573000109;;TREND ETF IBOVESPA CLASSE DE ÍNDICE -  RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF;Ações Brasil;
60553176000100;;B-INDEX ETF CONNECT CHINA AMC CHINEXT FUNDO DE ÍNDICE - RESP LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Internacionais;
60023816000162;;B-INDEX ETF CONNECT CHINA UNIVERSAL CSI 300 FUNDO DE ÍNDICE - RESP LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Internacionais;
63823417000174;;B-INDEX ETF S&P 500 BRL FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Internacionais;
55620015000144;;BB ETF ÍNDICE FUTURO DE DOLAR S&P/B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF;Ações Internacionais;
60310645000152;;BTG PACTUAL REFERENCE S&P/B3 CAMBIAL FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Internacionais;
42682199000125;;BTG PACTUAL S&P 500 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Internacionais;
63175655000110;;BTG PACTUAL S&P 500 FUTURES QUANTO BRL FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Internacionais;
42134357000102;;BTG PACTUAL S&P/B3 INGENIUS FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Internacionais;
59719389000172;;BUENA VISTA BLOOMBERG US BILLIONAIRES INVESTMENT SELECT INDEX FUNDO DE ÍNDICE - RESP LIMITADA;BUENA VISTA GESTORA DE RECURSOS LTDA.;ETF;Ações Internacionais;
63209544000188;;BUENA VISTA DEX NEOS INTERNATIONAL HIGH INCOME FUNDO DE ÍNDICE DE RESPONSABILIDADE LIMITADA;BUENA VISTA GESTORA DE RECURSOS LTDA.;ETF;Ações Internacionais;
65603290000103;;BUENA VISTA DEX VETTAFI NEOS BOOSTED S&P 500 HIGH INCOME FUNDO DE ÍNDICE DE RESPONSABILIDADE LIMITAD;BUENA VISTA GESTORA DE RECURSOS LTDA.;ETF;Ações Internacionais;
64423976000150;;BUENA VISTA DEX VETTAFI NEOS ENERGY INFRASTRUCTURE HIGH INCOME FUNDO DE ÍNDICE DE RESPONSABILIDADE L;BUENA VISTA GESTORA DE RECURSOS LTDA.;ETF;Ações Internacionais;
65990602000189;;BUENA VISTA DEX VETTAFI NEOS MULTI HIGH INCOME FUNDO DE ÍNDICE DE RESPONSABILIDADE LIMITAD;BUENA VISTA GESTORA DE RECURSOS LTDA.;ETF;Ações Internacionais;
58348330000152;;BUENA VISTA NASDAQ-100 HIGH BETA INDEX FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BUENA VISTA GESTORA DE RECURSOS LTDA.;ETF;Ações Internacionais;
54825284000184;;BUENA VISTA NASDAQ-100 NEOS HIGH INCOME ETF INDEX (NDXHIEN) FUNDO DE ÍNDICE - RESPONSABILIDADE LIM;BUENA VISTA GESTORA DE RECURSOS LTDA.;ETF;Ações Internacionais;
57922206000196;;BUENA VISTA NEOS RUSSELL 2000 HIGH INCOME INDEX FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BUENA VISTA GESTORA DE RECURSOS LTDA.;ETF;Ações Internacionais;
51949867000129;;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S. EQUITY HIGH INCOME INDEX - RESPONSABILIDADE;BUENA VISTA GESTORA DE RECURSOS LTDA.;ETF;Ações Internacionais;
63429736000108;;GALAPAGOS FTSE GLOBAL EQUITIES EX US FUNDO DE ÍNDICE;GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LT;ETF;Ações Internacionais;
63428769000125;;GENIAL TEVA AÇÕES HIGH BETA CLASSE DE ÍNDICE RESP LIMITADA;PLURAL INVESTIMENTOS GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
61604144000141;;INVESTO ARGENTINA FUNDO DE ÍNDICE;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
43216095000198;;INVESTO BLOOMBERG GLOBAL BOND ETF CLASSE  DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;;Ações Internacionais;
45295262000169;;INVESTO BLUESTAR TOP 10 US LISTED ALTERNATIVE ASSET MANAGERS ETF FUNDO DE INVESTIMENTO DE ÍNDICE - I;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
43105466000164;;INVESTO ETF GLOBAL VIDEO GAMING & ESPORTS CLASSE DE ÍNDICE - IE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
40751130000180;;INVESTO ETF MSCI US TECHNOLOGY CLASSE DE ÍNDICE - INVESTIMENTO NO EXTERIOR - RESP LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
43210375000199;;INVESTO ETF S&P SMALLCAP 600 VALUE CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;sinais no nome: Ações Internacionais + Ações Brasil
42280376000147;;INVESTO ETF US LISTED  SEMICONDUCTOR 25 INDEX CLASSE DE ÍNDICE IE RESP LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
61689798000115;;INVESTO FTSE ALL-WORLD FUNDO DE ÍNDICE;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
65836654000103;;INVESTO FTSE EMERGING MARKETS ALL CAP CHINA  A INCLUSION CLASSE DE ÍNDICE RESPONS LIMITADADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
42280262000105;;INVESTO FTSE GLOBAL EQUITIES ETF CLASSE DE ÍNDICE - IE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
60832345000133;;INVESTO GP ETF S&P 500 FUNDO DE ÍNDICE;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
45814375000123;;INVESTO MARKETVECTOR BRAZIL GLOBAL EXPOSURE ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
42280328000159;;INVESTO MSCI US REAL ESTATE ETF CLASSE DE ÍNDICE - IE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
42280298000180;;INVESTO MVIS GLOBAL URANIUM &  NUCLEAR ENERGY ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
60057113000155;;INVESTO MVIS®US BUSINESS DEVELOPMENT COMPANIES INDEX ETF FUNDO DE ÍNDICE;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Internacionais;
19909560000191;;ISHARES S&P 500 CLASSE DE ÍNDICE EM COTAS DE CLASSES DE ÍNDICE IE - RESPONSABILIDADE LIMITADA;BLACKROCK BRASIL GESTORA DE INVESTIMENTOS LTDA;ETF;Ações Internacionais;
61231268000129;;IT NOW ETF CONNECT E FUND MSCI CHINA  A50 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
41054489000161;;IT NOW MORNINGSTAR US DIGITAL LIFESTYLE FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
41054515000151;;IT NOW MORNINGSTAR XT US HEALTHCARE FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
38354844000103;;IT NOW NYSE FANG+T FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
41054432000162;;IT NOW RUSSELL® 1000 GREEN REVENUES 50 FUNDO DE ÍNDICE INVESTIMENTO SUSTENTÁVEL RESP LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
58022660000153;;IT NOW S&P 500 FUTURES QUANTO BRL FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
17036289000100;;IT NOW S&P500® TRN FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
38542889000101;;TREND ETF BLOOMBERG ALL COUNTRIES CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
38542870000165;;TREND ETF BLOOMBERG CHINA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA INVESTIMENTO NO EXTERIOR;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
40952802000116;;TREND ETF BLOOMBERG US 3000 TECHNOLOGY  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
35578672000163;;TREND ETF NASDAQ 100 CLASSE DE ÍNDICE INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE  LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
63747438000158;;TREND ETF S&P / B3 DOLAR CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
42101885000165;;TREND ETF S&P 500 FUTURES USD-BRLCLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
63747287000138;;TREND ETF S&P 500 QUANTO CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF;Ações Internacionais;
63728394000119;;B-INDEX ETF OURO BRL B3 FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF;Commodities;
45081470000165;;BB ETF IAGRO-FFS B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF;Commodities;
46610422000180;;BB ETF ÍNDICE FUTURO DE BOI GORDO B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF;Commodities;
